TIMESTAMP,SET.Close,SET50.Close 2,SET100.Close 3,MAI.Close 4,AGRI.Close 5,FOOD.Close 6,FASHION.Close 7,HOME.Close 8,PERSON.Close 9,BANK.Close 10,FIN.Close 11,INSUR.Close 12,AUTO.Close 13,IMM.Close 14,PAPER.Close 15,PETRO.Close 16,PKG.Close 17,STEEL.Close 18,CONMAT.Close 19,CONS.Close 20,PFNREIT.Close 21,PROP.Close 22,ENERG.Close 23,MINE.Close 24,COMM.Close 25,HELTH.Close 26,MEDIA.Close 27,PROF.Close 28,TOURISM.Close 29,TRANS.Close 30,ETRON.Close 31,ICT.Close 32
05-Jun-2018,1732.71,1141.39,2531.94,456.11,195.02,11999.19,734.03,33.34,442.87,533.03,3330.17,13275.01,586.78,57.61,3347.63,1527.50,3978.15,38.29,11707.39,102.58,197.86,325.24,25915.84,14.12,44466.53,6016.72,56.67,190.36,723.86,390.33,1545.60,161.76
06-Jun-2018,1738.70,1145.95,2542.21,458.41,197.14,12155.31,734.49,33.26,438.93,532.92,3359.15,13317.01,589.52,58.19,3319.49,1529.14,3974.28,38.07,11606.90,103.88,197.26,325.76,26234.24,15.04,44546.29,5891.07,57.11,190.36,721.78,389.20,1540.51,163.73
07-Jun-2018,1733.05,1141.12,2532.24,458.86,197.94,12175.78,728.01,33.11,455.75,529.81,3327.15,13280.84,586.44,58.28,3291.36,1551.57,3951.22,37.80,11585.26,104.25,197.24,323.36,26075.33,14.87,44615.76,5846.18,57.39,190.73,721.01,386.74,1537.84,162.95
08-Jun-2018,1722.04,1130.91,2510.86,461.76,194.94,12215.46,724.60,33.19,450.20,525.16,3305.38,13301.92,583.10,58.34,3319.49,1538.15,3969.03,38.20,11519.40,104.75,197.83,318.48,25717.23,14.87,44496.63,5846.15,57.37,191.11,720.40,384.77,1574.50,162.92
11-Jun-2018,1723.11,1131.83,2513.04,462.70,194.42,12207.56,725.19,33.01,448.68,529.12,3317.99,13249.76,577.22,58.27,3347.63,1535.40,3971.08,37.98,11558.12,104.87,197.29,318.94,25663.83,14.87,44440.37,5891.75,58.00,189.83,719.74,383.44,1561.83,163.09
12-Jun-2018,1727.29,1135.11,2520.00,465.18,196.65,12191.74,729.49,33.06,449.86,531.89,3311.88,13317.46,581.34,58.63,3347.63,1532.50,3989.38,38.30,11496.23,104.88,197.66,317.04,25831.22,14.71,44946.17,5924.82,58.19,191.48,725.46,383.54,1558.60,161.96
13-Jun-2018,1718.34,1128.55,2504.58,465.63,194.69,12181.39,727.05,33.13,446.37,530.88,3293.27,13221.47,583.41,58.99,3347.63,1512.22,3991.42,38.05,11483.83,103.83,197.70,319.19,25550.56,14.62,44600.06,5916.54,57.98,189.83,721.76,380.66,1559.46,161.27
14-Jun-2018,1709.86,1121.70,2488.91,462.39,193.29,12059.15,725.86,32.91,444.41,529.00,3288.56,13221.41,578.95,58.60,3347.63,1488.77,3971.72,38.03,11289.83,103.15,196.68,316.39,25537.80,14.37,44544.04,5858.53,57.88,187.80,725.53,378.76,1558.16,160.59
15-Jun-2018,1704.82,1117.85,2481.53,461.71,195.47,12045.55,729.59,33.06,446.29,530.05,3313.70,13134.82,576.10,58.22,3347.63,1471.58,3965.84,37.53,11269.98,102.47,197.67,316.64,25292.32,14.29,44589.17,5830.33,57.42,189.08,713.67,378.38,1538.14,160.62
18-Jun-2018,1679.68,1100.25,2441.42,455.29,192.12,11948.14,723.85,32.64,440.24,524.06,3247.07,12950.70,570.83,57.60,3319.49,1412.00,3939.99,37.19,11017.45,100.17,196.66,313.56,24767.39,14.12,43859.48,5741.68,56.62,184.87,711.15,374.73,1511.71,160.83
19-Jun-2018,1639.54,1071.96,2377.58,444.32,184.70,11675.63,713.73,32.20,428.81,511.84,3177.24,12612.03,564.14,55.80,3291.36,1392.72,3814.04,36.30,10712.40,96.79,195.45,306.06,24126.20,13.96,42847.05,5609.19,55.64,180.29,699.25,365.18,1496.67,155.85
20-Jun-2018,1664.26,1090.62,2418.62,449.00,187.72,11811.75,716.19,32.48,434.78,518.73,3217.12,12665.52,566.92,56.19,3291.36,1441.50,3847.64,36.68,10931.21,98.01,194.94,309.24,24629.78,14.12,43093.22,5821.75,55.76,179.01,706.25,368.18,1502.33,157.75
21-Jun-2018,1634.44,1068.68,2369.84,440.91,184.89,11601.95,714.10,31.90,438.09,511.00,3149.86,12484.87,562.09,55.44,3291.36,1395.64,3806.95,36.53,10679.38,95.41,194.03,307.63,24047.59,13.87,42448.06,5782.49,54.88,175.33,697.04,363.41,1513.45,152.82
