Symbol,Sector,Total Asset,TotalLiabilities,Paid-upCap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return onEquity,Return onAsset,Gross ProfitMargin,Net ProfitMargin,EBIT Margin,D/E,Current Ratio,FixedAssetTurnover,TotalAssetTurnover
TTW *,Energy & Utilities,22620987.00,9417432.00,3990000.00,13159177.00,3096524.00,1262324.00,2292484.00,1834200.00,1332187.00,0.33,1552093.00,891435.00,-1931105.00,512423.00,23.26,17.96,70.83,43.02,59.23,0.72,2.79,2.67,0.29
WHAUP *,Energy & Utilities,25942117.53,14107395.30,3825000.00,11834722.10,1244123.72,660111.14,708527.48,584012.59,360933.26,0.09,1279981.48,-477150.07,213801.18,1016632.59,9.76,6.73,30.58,29.01,46.94,1.19,0.36,0.74,0.12
BJC *,Commerce,329785362.00,211941553.00,4007620.00,112909113.00,80875039.00,75926092.00,9316476.00,4948947.00,1585413.00,0.40,5278029.00,-4197116.00,-4045358.00,-2964445.00,5.21,3.77,18.69,1.96,6.12,1.88,0.82,2.52,0.52
COM7 *,Commerce,9459306.77,6524462.67,300000.00,2929917.31,15970696.27,15247632.88,1036113.95,723063.39,562392.51,0.47,1868599.72,-38312.97,-1936025.00,-105738.24,43.76,18.34,13.02,3.52,4.53,2.23,1.13,70.11,3.95
CPALL *,Commerce,420751529.00,319533117.00,8983101.00,86588102.00,273880804.00,259767839.00,24224351.00,14112965.00,8532138.00,0.89,9351412.00,-8828313.00,-903966.00,-380867.00,23.92,7.96,21.82,3.12,5.15,3.69,0.51,4.85,1.42
CRC *,Commerce,245278502.63,185281508.19,6031000.00,57617725.74,95720434.83,96482346.06,7163481.73,-761911.23,-1847558.19,-0.33,-542518.30,-4320564.90,17721955.55,12858872.35,6.10,2.97,23.91,-1.93,-0.80,3.22,0.61,5.06,0.85
DOHOME *,Commerce,18773619.54,12054834.54,1856160.00,6718784.70,9262104.25,8736964.36,760622.53,525139.89,323693.44,0.17,837620.97,-477995.34,-302708.92,56916.70,12.92,5.35,14.45,3.49,5.67,1.79,0.97,1.86,0.97
GLOBAL *,Commerce,34568501.00,18176198.00,4401610.00,16161020.00,13948809.00,12409315.00,2103325.00,1539494.00,1122860.00,0.26,4964495.00,-1336648.00,-3348063.00,279784.00,13.87,8.97,23.83,8.05,11.04,1.12,1.00,1.73,0.84
HMPRO *,Commerce,54438023.00,34506548.00,13151198.00,19931472.00,29720601.00,26781186.00,4555675.00,2939415.00,2209199.00,0.17,3631187.00,-1119579.00,-1659807.00,851801.00,27.09,12.99,25.38,7.43,9.89,1.73,0.72,2.17,1.15
MEGA *,Commerce,11325857.00,4819135.00,435935.00,6482492.00,5772669.00,5024799.00,873230.00,747870.00,623336.00,0.71,605438.00,-556206.00,-270382.00,-221150.00,20.94,14.46,39.03,10.80,12.96,0.74,1.64,6.61,1.09
RS *,Commerce,4324683.74,2553783.51,972496.95,1768754.68,1823711.51,1436555.30,631199.01,387156.21,295094.59,0.31,492351.33,-341780.15,-298067.81,-147496.63,25.54,16.08,54.24,16.18,21.23,1.44,0.61,3.37,0.96
BCH *,Health Care Services,15869222.00,8694040.00,2493748.00,6458812.00,4301802.00,3480138.00,1189059.00,821664.00,537730.00,0.22,761662.00,-1818876.00,1067862.00,10648.00,19.15,12.28,31.77,12.50,19.10,1.35,0.61,0.91,0.62
BDMS *,Health Care Services,132851778.00,48442652.00,1589200.00,81161593.00,34189224.00,29791524.00,7585842.00,4397700.00,3025869.00,0.19,4224025.00,-3340165.00,-2151622.00,-1267762.00,10.39,8.66,31.99,8.85,12.86,0.60,1.05,1.01,0.58
BH *,Health Care Services,24901928.00,5480926.00,795766.00,19123268.00,6662916.00,5649640.00,1631112.00,1013276.00,809628.00,1.05,675500.00,775323.00,-1726046.00,-275223.00,14.47,13.66,39.52,12.15,15.21,0.29,5.41,1.42,0.65
CHG *,Health Care Services,6347785.00,2464847.00,1100000.00,3709168.00,2472727.00,2039512.00,609862.00,433215.00,341312.00,0.03,526271.00,-135099.00,-173754.00,217418.00,20.55,15.34,29.17,13.80,17.52,0.66,1.04,1.31,0.85
BEC *,Media & Publishing,10345901.00,5257430.00,2000000.00,5061936.00,2846282.00,3370813.00,709869.00,-524531.00,-541920.00,-0.27,647739.00,-852597.00,-13124.00,-217982.00,-13.02,-6.04,7.25,-19.04,-18.43,1.04,2.37,20.55,0.65
MAJOR *,Media & Publishing,17614975.00,11178955.00,894668.00,6295308.00,1844995.00,2509925.00,-23341.00,-664930.00,-730016.00,-0.82,7171.00,-36603.00,757842.00,728410.00,-4.20,-0.23,2.96,-39.57,-36.04,1.78,0.48,1.15,0.46
PLANB *,Media & Publishing,9680296.00,3801815.00,388257.00,5464205.00,1641629.00,1597960.00,936240.00,43669.00,-1068.00,-,1465209.00,-2140717.00,-627521.00,-1303029.00,6.92,6.56,16.79,-0.07,2.66,0.70,1.24,1.68,0.48
VGI *,Media & Publishing,19419801.17,4356580.38,861116.57,14537780.86,-304763.40,32739.10,-120590.10,-337502.52,260096.06,0.04,569098.93,-747229.88,-157357.68,-335488.64,6.91,2.92,67.98,-85.34,110.74,0.30,0.87,2.07,0.16
